,CAS
869,121-88-0
870,16919-58-7
871,1314-84-7
872,766-80-3
873,528-29-0
874,121-01-7
875,814-94-8
876,2235-25-8
877,13327-32-7
878,15180-03-7
879,22781-23-3
880,62-53-3
881,5392-82-5
882,6968-24-7
883,106-38-7
884,367-24-8
885,638-07-3
886,95-95-4
887,107-11-9
888,4786-20-3
889,134-32-7
890,26864-56-2
891,99-09-2
892,104-12-1
893,619-23-8
894,2310-17-0
895,64-72-2
896,7778-43-0
897,58-90-2
898,80-40-0
899,74-95-3
900,96-32-2
901,2924-16-5
902,590-92-1
903,6865-35-6
904,91-23-6
905,300-76-5
906,4300-97-4
907,10025-68-0
908,1563-66-2
909,700-87-8
910,51-05-8
911,2923-18-4
912,98-58-8
913,2275-18-5
914,41198-08-7
915,1337-81-1
916,1984-04-9
917,23564-05-8
918,65-30-5
919,59803-98-4
920,78-08-0
921,57597-62-3
922,31027-31-3
923,16617-46-2
924,99-08-1
925,64-20-0
926,108-98-5
927,140-29-4
928,6283-63-2
929,82-68-8
930,612-83-9
931,22364-68-7
932,260-94-6
933,99-07-0
934,7790-78-5
935,7784-46-5
936,521-18-6
937,768-52-5
938,577-59-3
939,121-69-7
940,624-75-9
941,13286-32-3
942,578-94-9
943,670-54-2
944,326-62-5
945,1656-44-6
946,147－82－0
947,348-54-9
948,124-65-2
949,6294-89-9
950,99-55-8
951,644-64-4
952,507-60-8
953,578-68-7
954,95-03-4
955,1122-58-3
956,50-14-6
957,2818-88-4
958,2581-34-2
959,298-81-7
960,7220-79-3
961,673-04-1
962,102-36-3
963,7287-19-6
964,299-84-3
965,607-23-8
966,88-09-5
967,32807-28-6
968,95-83-0
969,17125-80-3
970,2698-41-1
971,98-46-4
972,6004-24-6
973,54-71-7
974,90-72-2
975,101-54-2
976,7787-47-5
977,558-25-8
978,4316-42-1
979,121-86-8
980,105-39-5
981,5908-99-6
982,51366-25-7
983,611-32-5
984,89-62-3
985,5117-16-8
986,4457-32-3
987,592-85-8
988,646-20-8
989,120-36-5
990,119-93-7
991,74-90-8
992,886-50-0
993,610-38-8
994,7783-56-4
995,2999-46-4
996,622-58-2
997,31282-04-9
998,14913-33-8
999,297-97-2
1000,54-11-5
1001,2763-96-4
1002,5307-14-2
1003,104-88-1
1004,27469-60-9
1005,100-02-7
1006,2917-26-2
1007,3012-37-1
1008,101-21-3
1009,55219-65-3
1010,51404-69-4
1011,23255-69-8
1012,121-87-9
1013,13938-94-8
1014,610-67-3
1015,1397-94-0
1016,369-34-6
1017,101-68-8
1018,99-52-5
1019,333-41-5
1020,10103-61-4
1021,7379-35-3
1022,99-12-7
1023,615-57-6
1024,630-20-6
1025,79-42-5
1026,76-44-8
1027,100-28-7
1028,7101-31-7
1029,592-04-1
1030,1303-39-5
1031,1600-27-7
1032,87-63-8
1033,143-57-7
1034,5930-28-9
1035,41294-56-8
1036,1897-45-6
1037,594-42-3
1038,15879-93-3
1039,86-56-6
1040,600-25-9
1041,106-50-3
1042,1420-06-0
1043,13814-96-5
1044,7681-49-4
1045,21923-23-9
1046,88-72-2
1047,133-32-4
1048,1332-65-6
1049,131-52-2
1050,10326-27-9
1051,13593-03-8
1052,636-98-6
1053,823-85-8
1054,3813-52-3
1055,98-72-6
1056,76-06-2
1057,6038-19-3
1058,535-89-7
1059,90035-08-8
1060,61-82-5
1061,553-26-4
1062,106-51-4
1063,1113-02-6
1064,2042-14-0
1065,1666-13-3
1066,58-89-9
1067,947-02-4
1068,540-38-5
1069,2439-35-2
1070,544-13-8
1071,13015-70-8
1072,117-10-2
1073,35037-73-1
1074,15168-20-4
1075,2632-13-5
1076,6952-59-6
1077,13516-27-3
1078,95-46-5
1079,55-91-4
1080,145-73-3
1081,1118-84-9
1082,75-86-5
1083,1729-67-5
1084,14220-64-5
1085,541-25-3
1086,7774-29-0
1087,298-00-0
1088,10138-60-0
1089,12192-57-3
1090,96-23-1
1091,156-43-4
1092,77-58-7
1093,12230-71-6
1094,88-18-6
1095,771-61-9
1096,587-85-9
1097,123-30-8
1098,828-27-3
1099,98-95-3
1100,100-46-9
1101,1402-38-6
1102,540-51-2
1103,593-71-5
1104,106-47-8
1105,695-34-1
1106,101-77-9
1107,4920-77-8
1108,367-29-3
1109,100-29-8
1110,7787-49-7
1111,393-36-2
1112,3964-56-5
1113,372-19-0
1114,5104-49-4
1115,1635-61-6
1116,827-94-1
1117,329-01-1
1118,16532-79-9
1119,583-71-1
1120,13930-88-6
1121,603-35-0
1122,121-73-3
1123,114-26-1
1124,107-59-5
1125,13721-39-6
1126,1120-71-4
1127,88-60-8
1128,302-27-2
1129,59-88-1
1130,1824-81-3
1131,120-29-6
1132,100-63-0
1133,445-03-4
1134,6313-37-7
1135,74-88-4
1136,513-79-1
1137,532-28-5
1138,3234-02-4
1139,1435-50-3
1140,90-03-9
1141,7790-59-2
1142,581-64-6
1143,1118-61-2
1144,609-72-3
1145,109-57-9
1146,7487-94-7
1147,505-60-2
1148,17462-58-7
1149,452-80-2
1150,122-14-5
1151,3268-49-3
1152,769-92-6
1153,108-44-1
1154,16949-65-8
1155,3333-67-3
1156,21548-32-3
1157,57837-19-1
1158,2243-62-1
1159,5218-63-5
1160,2487-01-6
1161,577-19-5
1162,28588-74-1
1163,66104-24-3
1164,1420-07-1
1165,1103-38-4
1166,584-84-9
1167,13446-74-7
1168,357-57-3
1169,612-60-2
1170,21087-64-9
1171,57-57-8
1172,583-68-6
1173,96-34-4
1174,463-71-8
1175,110-65-6
1176,10124-50-2
1177,2856-63-5
1178,557-19-7
1179,111-44-4
1180,7784-45-4
1181,2045-00-3
1182,584-79-2
1183,100-43-6
1184,674-82-8
1185,78-95-5
1186,7696-12-0
1187,627-30-5
1188,96-64-0
1189,1118-14-5
1190,5628-99-9
1191,109-61-5
1192,14592-56-4
1193,52645-53-1
1194,95-69-2
1195,59956-48-8
1196,35367-38-5
1197,91-63-4
1198,78-57-9
1199,3164-29-2
1200,90-41-5
1201,75-57-0
1202,3926-62-3
1203,87-59-2
1204,122-66-7
1205,2969-81-5
1206,7789-23-3
1207,10290-12-7
1208,107-44-8
1209,613-90-1
1210,543-81-7
1211,762-42-5
1212,107-80-2
1213,545-06-2
1214,496-72-0
1215,60956-26-5
1216,4519-40-8
1217,1461-22-9
1218,367-21-5
1219,7440-28-0
1220,132-75-2
1221,1332-21-4
1222,27152-57-4
1223,124-87-8
1224,587-04-2
1225,93-65-2
1226,2987-46-4
1227,70-30-4
1228,108-42-9
1229,15861-24-2
1230,56-93-9
1231,16752-77-5
1232,143-33-9
1233,7783-46-2
1234,6099-90-7
1235,608-73-1
1236,77-77-0
1237,31112-62-6
1238,1314-32-5
1239,75-25-2
1240,2315-02-8
1241,75-87-6
1242,13257-51-7
1243,79-34-5
1244,455-14-1
1245,95-57-8
1246,94-80-4
1247,1317-36-8
1248,443-86-7
1249,320-51-4
1250,821-06-7
1251,13701-59-2
1252,75-23-0
1253,116-17-6
1254,536-75-4
1255,312-73-2
1256,2104-64-5
1257,628-20-6
1258,26628-22-8
1259,7803-55-6
1260,149-30-4
1261,583-78-8
1262,16871-90-2
1263,54812-56-5
1264,611-19-8
1265,455-18-5
1266,1327-53-3
1267,15593-61-0
1268,42835-25-6
1269,313-67-7
1270,1239-45-8
1271,105-67-9
1272,77-78-1
1273,40828-46-4
1274,13682-73-0
1275,15663-27-1
1276,56-35-9
1277,19472-74-3
1278,584-48-5
1279,2524-03-0
1280,3173-53-3
1281,56-47-3
1282,39885-50-2
1283,75-11-6
1284,21725-46-2
1285,99-91-2
1286,504-24-5
1287,137-30-4
1288,103-84-4
1289,5391-88-8
1290,722-27-0
1291,814-49-3
1292,15432-85-6
1293,85-41-6
1294,70-23-5
1295,15972-60-8
